IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label,Attack
171.41.106.10,61069,12.170.255.199,11427,6,36.0,2796,19174,37,41,27,0,0,Benign
146.186.194.108,11277,147.166.114.255,25930,17,11.0,2685,0,4,6,0,0,0,Benign
89.118.222.70,37006,8.28.104.65,370,17,0.0,52,0,1,5,0,0,0,Benign
125.139.134.248,60242,76.250.168.44,0,17,5.0,52,0,2,4,0,0,0,Benign
206.13.22.96,16268,25.182.235.93,0,6,41.0,13053,201,15,10,27,354,1,Exploits
216.164.114.200,2908,186.157.75.201,6438,6,0.0,1178,7555,13,12,27,0,0,Benign
20.249.3.87,18584,212.97.76.29,316,6,10.16,1226,0,19,12,19,302,1,Fuzzers
76.49.51.44,34752,155.124.190.56,5659,6,11.0,388,0,16,8,19,0,1,Reconnaissance
168.53.106.91,3385,33.73.229.104,0,6,7.0,2874,32,18,9,19,2209,1,DoS
93.30.111.238,49819,41.14.101.106,39633,6,2.68,3593,1831,53,39,2,994,0,Benign
189.112.180.208,631,91.141.62.44,38787,6,0.0,533,3777,11,8,0,785,0,Benign
122.249.239.195,54118,58.26.26.53,382,6,13.0,2261,2314,9,7,19,0,1,Fuzzers
106.39.51.120,1478,178.251.52.200,38287,6,0.0,3654,23510,18,44,27,4627,0,Benign
172.8.191.156,50030,213.189.224.172,162,6,10.16,1549,63,9,8,19,839,1,Fuzzers
22.169.151.195,41609,58.244.8.34,217,6,3.0,2518,5517,39,43,27,0,0,Benign
190.55.171.190,28132,18.222.177.129,141,17,0.0,1124,0,1,37,0,0,0,Benign
130.222.82.91,0,155.70.1.243,710,17,77.0,52,2501,7,7,0,0,1,Fuzzers
122.19.139.200,0,184.135.69.117,0,85,0.0,52,195,2,0,0,2895,1,Analysis
161.121.204.1,28041,186.10.97.100,328,6,0.0,1146,1488,5,38,27,0,0,Benign
82.92.123.253,13581,77.161.35.157,187,6,11.0,52,202,12,13,19,1887,1,Reconnaissance
81.128.14.79,52745,12.109.131.129,0,17,5.0,52,2046,2,3,0,0,0,Benign
55.189.228.51,2884,66.176.205.247,207,234,0.0,2006,0,2,4,0,2639,1,Fuzzers
88.177.43.37,0,102.195.254.143,125,246,0.0,52,90,2,0,0,0,1,Fuzzers
221.143.171.134,43511,57.80.189.4,89,6,3.0,44176,5606,66,46,27,0,0,Benign
198.111.123.100,13515,164.44.225.3,232,6,13.0,586,714,11,8,19,0,0,Benign
218.139.219.224,19090,195.140.155.231,37,6,7.0,1865,3805,18,35,27,4364,1,Exploits
28.145.136.21,56912,186.171.106.233,38239,6,0.0,2477,1964,16,5,25,337,0,Benign
12.195.189.98,15108,186.57.123.249,67,6,36.0,4427,9229,64,76,27,0,0,Benign
206.56.120.62,26361,15.238.159.129,20,17,84.0,52,1299,1,5,0,0,0,Benign
121.148.28.183,51470,121.242.122.77,366,6,10.16,1007,2686,14,65,27,0,1,Fuzzers
180.109.152.246,5097,155.50.129.206,21550,6,36.0,1252,12480,36,43,27,0,0,Benign
41.216.171.220,53618,154.37.204.249,154,6,7.0,1457,2522,15,0,0,224,1,Fuzzers
164.237.163.202,0,97.15.212.56,0,90,0.0,52,0,2,0,0,2027,1,Fuzzers
168.165.176.121,42129,72.119.115.37,7621,6,0.0,608,0,19,2,18,0,0,Benign
211.129.23.71,5083,186.27.79.255,43,17,0.0,883,0,3,0,0,0,0,Benign
98.191.237.176,30424,27.26.199.232,334,6,13.0,52,0,12,13,19,1885,1,Fuzzers
62.161.122.33,21706,50.139.94.65,0,17,5.0,52,1508,3,3,0,2018,0,Benign
121.146.65.33,25171,132.230.116.243,0,6,1.0,1690,13067,48,54,27,1371,0,Benign
100.1.81.79,0,77.210.143.50,84,77,0.0,52,0,1,0,0,0,1,Backdoor
136.76.75.124,0,197.243.173.111,0,96,0.0,52,0,1,0,0,0,1,Analysis
75.177.157.220,15993,192.228.91.167,40267,6,36.0,3487,14694,46,44,27,0,0,Benign
169.209.103.193,21893,58.239.43.216,0,17,5.0,52,1106,1,6,0,621,0,Benign
107.226.187.139,37779,68.248.57.171,166,6,7.0,1723,8832,10,16,27,0,0,Benign
110.126.217.32,13466,89.25.120.156,153,6,4.0,3740,62661,100,47,27,0,1,Exploits
223.102.13.56,0,95.38.94.241,0,89,85.0,1610,1829,34,1,0,8489,1,Backdoor
166.208.88.32,5584,153.230.191.191,4169,24,0.0,633,4896,3,0,0,0,1,Exploits
133.45.107.14,48093,97.188.131.109,135,6,1.0,4072,7490,50,61,27,0,0,Benign
4.105.214.142,44461,85.92.71.208,0,6,7.0,46119,1180200,487,799,26,4294952,0,Benign
44.117.198.169,33559,109.197.138.65,82,6,7.0,2015,0,13,9,27,0,1,Exploits
87.238.219.241,9408,91.159.15.143,281,6,13.0,3086,305,16,11,19,557,1,Generic
46.91.235.185,6143,84.111.136.94,43098,6,36.0,4597,67526,50,57,27,733,0,Benign
67.215.11.78,31992,177.178.236.241,831,17,11.0,52,0,9,3,19,74,1,Reconnaissance
3.44.177.181,61424,35.19.197.26,39046,6,0.0,1087,4863,14,7,27,0,0,Benign
69.241.106.71,0,124.221.23.238,167,118,0.0,52,0,1,0,0,0,1,Reconnaissance
175.64.222.34,33432,116.162.53.210,0,6,3.0,44116,1076360,141,769,26,4294952,0,Benign
52.90.222.94,19793,164.163.159.178,0,6,7.0,2089,2452,20,11,27,466,1,DoS
5.207.23.111,0,187.158.111.119,195,129,0.0,222,1378,2,8,0,0,1,Analysis
218.132.46.248,0,76.123.160.39,0,219,0.0,52,0,2,0,0,0,1,Exploits
133.7.199.162,39562,12.115.109.121,0,6,92.0,1487,50547,127,48,19,326,0,Benign
131.173.198.255,0,5.30.141.108,211,206,0.0,52,436,1,0,0,1117,1,Analysis
40.196.22.69,26258,20.154.212.222,212,17,0.0,737,1588,2,4,0,583,0,Benign
208.136.132.253,39391,209.191.149.75,52070,17,11.0,2452,1772,7,6,0,0,0,Benign
81.64.72.71,37635,53.20.83.207,0,6,3.0,52446,9486,66,49,27,1578,0,Benign
90.228.119.118,28656,180.153.149.206,5580,6,11.0,1618,732,21,13,19,0,0,Benign
173.177.128.44,57378,194.90.205.127,448,17,0.0,707,1734,2,7,0,0,0,Benign
177.95.200.29,28473,79.8.141.45,57634,6,3.0,1984,4233,11,7,27,89,0,Benign
64.250.71.119,2177,191.92.26.106,0,39,0.0,1039,94,2,1,0,968,1,Exploits
87.152.226.150,19306,80.30.153.127,0,17,5.0,52,0,1,0,0,0,0,Benign
214.49.93.31,30498,59.7.230.213,0,17,11.0,888,0,3,8,0,278,0,Benign
60.24.75.74,37843,74.7.223.185,0,6,131.7,11469,0,16,8,19,0,1,Generic
190.31.12.54,38820,30.197.252.112,74,6,3.0,35920,2657,53,51,27,336,0,Benign
207.250.27.247,50202,167.220.181.84,228,6,7.0,10158,5053,15,10,25,2771,0,Benign
134.151.22.214,35366,61.142.93.71,0,6,7.0,791,3429,19,12,0,0,0,Benign
74.204.199.215,27351,167.191.29.161,278,6,10.16,52,0,11,6,19,0,1,Reconnaissance
117.102.162.192,0,68.67.183.150,0,1,0.0,52,0,2,2,0,4200,1,Backdoor
69.183.127.58,69,196.131.33.246,0,130,0.0,52,0,3,0,0,432,1,Analysis
200.113.150.16,9214,166.172.37.98,3905,6,164.36,6166,887,1,3,19,423,1,DoS
78.255.213.39,2327,9.87.133.239,0,17,0.0,52,0,2,1,0,618,1,Fuzzers
67.91.178.50,0,124.233.169.58,0,72,0.0,52,0,3,2,0,1018,1,Reconnaissance
141.225.229.247,24610,57.103.194.201,141,6,0.0,2415,6355,47,4,27,1125,0,Benign
87.13.204.130,12097,86.105.64.62,21369,6,0.0,2356,18573,62,47,27,2158,0,Benign
101.24.76.20,13588,217.219.183.200,76,6,7.0,2156,2771,19,9,19,0,1,DoS
83.182.59.136,8266,70.8.132.39,40914,6,36.0,4255,33603,55,50,27,1123,0,Benign
7.72.189.114,54480,62.195.114.95,41,17,0.0,1159,2296,5,8,0,2357,0,Benign
215.165.227.69,40834,177.56.196.236,141,6,0.0,35847,53704,391,56,27,0,0,Benign
204.85.37.174,18162,152.181.243.50,515,6,7.0,3655,5900,11,8,27,51,0,Benign
197.113.36.50,52423,21.178.181.234,0,6,7.0,1992,0,20,9,19,0,1,DoS
73.28.70.66,10724,175.237.114.228,0,211,0.0,1772,1823,14,26,0,0,1,Exploits
38.171.197.229,59366,124.187.28.215,686,6,10.16,2261,1871,18,9,19,839,1,Fuzzers
118.242.186.202,35161,118.147.103.121,15900,6,36.0,2117,0,3,42,0,0,0,Benign
222.192.153.121,47462,21.65.10.114,5985,6,36.0,5842,37278,76,52,27,1176,0,Benign
187.113.154.68,47390,44.111.230.176,0,6,3.0,45445,2636,69,50,27,0,0,Benign
130.83.174.127,1585,56.84.165.19,0,6,0.0,2053,5801,50,47,0,2774,0,Benign
135.126.59.155,38257,148.154.183.79,396,6,1.0,4403,4377,56,55,27,0,0,Benign
148.47.171.169,44532,174.115.186.65,48781,6,0.0,163,1909,2,11,0,0,0,Benign
172.43.219.153,30003,17.146.148.204,0,17,5.0,52,0,6,0,0,1183,0,Benign
88.46.193.174,11416,66.201.7.55,29035,6,131.7,2376,12450,80,46,27,0,0,Benign
130.108.226.242,5031,44.89.219.205,455,6,41.0,2745,0,20,6,19,3439,1,Fuzzers
211.12.67.245,49443,155.45.85.51,96,6,11.0,3147,0,15,4,19,0,1,Exploits
129.187.140.199,46634,134.241.220.202,334,6,7.0,4050,6172,9,53,27,379,1,Exploits
203.53.204.133,1274,13.241.163.162,26058,132,0.0,3182,17225,34,27,0,1446,0,Exploits
79.94.136.252,39103,111.203.127.101,122,6,7.0,2730,912,11,10,19,80,1,Backdoor
111.121.62.46,37762,107.53.26.244,0,6,7.0,899,8274,5,13,27,0,0,Benign
123.176.242.112,38206,48.56.78.9,55249,6,0.0,3848,84734,84,48,27,1941,0,Benign
210.19.86.100,57559,54.21.4.194,241,6,11.0,309,0,14,10,19,2607,1,Reconnaissance
95.151.143.67,10902,222.40.69.21,719,6,1.0,591,1262,12,5,27,4604,0,Benign
111.238.128.39,26910,68.25.230.32,179,17,5.0,52,0,3,0,0,0,0,Benign
129.79.8.107,28128,134.158.211.201,7336,6,0.0,812,97,8,7,27,1078,0,Benign
219.46.228.70,55491,140.91.81.80,33289,6,36.0,2226,7129,43,34,27,0,0,Benign
175.25.218.188,64167,158.61.65.219,7797,6,0.0,321,0,16,2,18,0,0,Benign
13.233.154.71,23733,132.52.36.190,0,17,5.0,52,0,2,5,0,0,0,Benign
15.254.187.107,4198,89.103.21.156,341,206,0.0,52,679,3,1,0,0,0,Benign
176.242.202.151,21432,49.237.66.21,86,6,13.0,8625,1524,11,7,19,2004,1,Generic
220.215.242.240,48851,60.153.160.248,450,6,10.16,8535,940,14,7,19,0,1,Fuzzers
139.222.55.155,39565,2.134.48.244,229,6,7.0,826,18802,9,43,27,0,0,Benign
184.135.166.16,4787,77.121.37.249,13101,6,36.0,5677,21598,55,48,27,0,0,Benign
180.31.255.220,0,214.108.98.150,0,211,0.0,321,0,1,0,0,0,1,Analysis
80.199.105.249,0,10.151.17.78,195,30,0.0,344,0,4,0,0,0,1,Analysis
109.49.47.82,42490,68.112.221.142,0,6,7.0,30521,1160617,425,805,26,2094,0,Benign
110.207.237.192,18860,151.60.115.243,42112,6,36.0,4433,27060,40,66,27,0,0,Benign
51.155.202.134,12817,29.58.32.60,19386,17,5.0,840,0,3,6,0,913,0,Benign
132.134.199.60,3534,111.56.12.146,19813,6,0.0,5320,20754,47,29,25,2326,0,Benign
192.81.5.55,4182,24.72.205.98,4670,178,164.36,1080,2665,4,4,19,0,1,Fuzzers
96.20.166.213,11970,200.230.67.230,119,17,5.0,812,407,2,3,0,0,0,Benign
139.141.143.167,11196,125.245.16.36,4924,6,0.0,495,0,128,8,27,1157,1,Benign
63.71.188.14,12054,76.231.101.66,28970,6,36.0,1681,2006,14,54,27,0,0,Benign
