IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label,Attack
212.83.162.138,3458,172.31.65.16,3389,6,0.0,254,191,5,4,223,4293198,0,Benign
172.31.66.17,65046,172.31.0.2,53,17,0.0,139,171,2,2,0,0,0,Benign
172.31.69.25,22,13.58.98.64,35874,6,0.0,3765,0,21,0,27,0,0,Benign
18.218.229.235,62274,172.31.69.25,80,6,0.0,232,0,5,0,222,0,1,DDoS attacks-LOIC-HTTP
172.31.69.25,80,18.219.211.138,57810,6,0.0,1188,0,4,0,27,0,0,Benign
18.219.211.138,40004,172.31.69.25,80,6,0.0,796,0,6,0,30,0,1,DoS attacks-GoldenEye
172.31.69.25,21,18.221.219.4,60736,6,0.0,40,0,1,0,20,0,0,Benign
172.31.64.35,50815,52.218.193.136,443,6,91.178,52,52,1,1,18,4294896,0,Benign
172.31.68.15,55579,74.125.28.104,443,6,91.126,2317,4964,15,17,218,4294241,0,Benign
172.31.65.6,56350,172.31.0.2,53,17,0.0,75,91,1,1,0,4294966,0,Benign
172.31.64.58,50763,54.69.172.44,443,6,91.178,159,40,2,1,28,4291825,0,Benign
91.205.129.186,56249,172.31.66.107,445,6,41.0,132,132,3,3,23,4294764,0,Benign
172.31.69.24,47556,172.31.69.13,1030,6,0.0,44,0,1,0,2,0,0,Benign
202.62.19.55,50842,172.31.66.108,445,6,0.0,585,344,5,4,30,4291023,0,Benign
172.31.65.56,51352,65.55.44.109,443,6,91.0,80,40,2,1,17,4294943,0,Benign
172.31.69.26,61988,172.31.0.2,53,17,5.126,144,200,2,2,0,4294937,0,Benign
18.221.219.4,35168,172.31.69.25,21,6,0.0,60,0,1,0,2,0,1,FTP-BruteForce
172.31.66.54,138,172.31.66.127,138,17,0.0,244,0,1,0,0,0,0,Benign
172.31.69.25,22,13.58.98.64,52088,6,0.0,3869,0,23,0,27,0,0,Benign
213.202.230.232,9014,172.31.66.22,3389,6,0.0,2006,2143,14,10,219,4290779,0,Benign
172.31.66.7,53248,172.31.0.2,53,17,0.0,68,196,1,1,0,4294954,0,Benign
172.31.65.40,50561,172.31.0.2,53,17,0.0,66,96,1,1,0,4294965,0,Benign
18.221.219.4,43094,172.31.69.25,21,6,0.0,60,0,1,0,2,0,1,FTP-BruteForce
207.244.86.222,53874,172.31.69.30,3389,6,0.0,1460,1873,8,7,222,4293795,0,Benign
172.31.65.109,52149,72.21.91.29,80,6,7.0,2103,3976,19,17,218,4178161,0,Benign
172.31.69.25,80,18.219.9.1,54608,6,0.0,1136,0,4,0,27,0,0,Benign
172.31.64.85,65439,172.31.0.2,53,17,0.0,65,149,1,1,0,4294966,0,Benign
172.31.69.24,58834,172.31.69.7,62078,6,0.0,44,40,1,1,22,4294967,1,Infilteration
5.188.11.188,54193,172.31.64.26,3227,6,0.0,40,0,1,0,2,0,0,Benign
172.31.69.25,21,18.221.219.4,57746,6,0.0,40,0,1,0,20,0,0,Benign
18.221.219.4,41626,172.31.69.25,21,6,0.0,60,0,1,0,2,0,1,FTP-BruteForce
172.31.64.85,50352,151.101.34.2,443,6,0.0,126,86,2,1,24,4294891,0,Benign
87.230.72.8,55853,172.31.64.121,3389,6,0.0,1464,1721,10,7,222,4291669,0,Benign
172.31.66.77,49186,172.31.0.2,53,17,0.0,68,153,1,1,0,4294966,0,Benign
193.111.198.10,2109,172.31.67.13,3389,6,0.0,1930,2103,12,9,219,4291151,0,Benign
172.31.66.107,57081,172.31.0.2,53,17,5.178,94,110,1,1,0,4294966,0,Benign
151.101.34.202,80,172.31.65.40,53217,6,7.0,360,0,9,0,17,4265655,0,Benign
172.31.64.58,62677,172.31.0.2,53,17,5.126,70,130,1,1,0,4294966,0,Benign
212.92.121.57,53512,172.31.68.23,3389,6,0.0,1460,1950,8,8,222,4292467,0,Benign
172.31.66.123,3389,193.111.198.10,37923,6,88.0,40,0,1,0,20,0,0,Benign
18.221.219.4,39986,172.31.69.25,21,6,0.0,60,0,1,0,2,0,1,FTP-BruteForce
172.31.66.100,50430,107.22.237.128,443,6,91.178,1640,2139,15,14,27,4233967,0,Benign
172.31.66.25,49987,172.31.0.2,53,17,5.126,79,107,1,1,0,4294966,0,Benign
172.31.67.59,3389,213.202.230.232,2241,6,88.0,40,0,1,0,20,0,0,Benign
172.31.65.44,54222,104.27.170.98,443,6,91.22,126,86,2,1,24,4294720,0,Benign
172.31.67.76,60688,172.31.0.2,53,17,5.126,78,106,1,1,0,4294942,0,Benign
172.31.69.25,80,18.219.5.43,61690,6,0.0,1136,0,4,0,27,0,0,Benign
52.14.136.135,60083,172.31.69.25,80,6,0.0,232,0,5,0,222,0,1,DDoS attacks-LOIC-HTTP
219.135.155.106,65236,172.31.66.42,445,6,41.0,132,132,3,3,23,4294746,0,Benign
172.31.67.31,65380,172.31.0.2,53,17,5.126,63,159,1,1,0,4294966,0,Benign
193.111.198.65,34599,172.31.65.73,3389,6,0.0,2014,2143,14,10,219,4291021,0,Benign
172.31.66.87,55956,23.13.154.167,443,6,0.0,1921,1569,20,20,223,4178861,0,Benign
172.31.65.20,50121,52.85.117.112,80,6,7.178,80,40,2,1,17,4294954,0,Benign
193.111.198.63,10030,172.31.66.28,3389,6,0.0,536,311,7,7,223,4278973,0,Benign
172.31.67.113,50491,172.31.0.2,53,17,0.0,68,167,1,1,0,4294954,0,Benign
172.31.64.80,3389,193.111.198.61,59905,6,88.0,40,0,1,0,20,0,0,Benign
172.31.64.42,63019,172.31.0.2,53,17,5.126,69,213,1,1,0,4294966,0,Benign
172.31.69.25,22,13.58.98.64,45924,6,0.0,3869,0,23,0,27,0,0,Benign
172.31.66.119,50028,52.84.86.244,80,6,7.178,1148,1715,17,15,219,4179767,0,Benign
172.31.65.117,63872,172.31.0.2,53,17,0.0,122,332,2,2,0,4294869,0,Benign
37.46.246.28,49802,172.31.66.56,3389,6,0.0,1540,1873,10,7,30,4289713,0,Benign
196.52.84.25,58090,172.31.67.4,3389,6,0.0,2161,1925,9,8,222,4292866,0,Benign
172.31.67.125,53812,172.31.0.2,53,17,0.0,125,349,2,2,0,0,0,Benign
213.202.230.143,37408,172.31.65.10,3389,6,0.0,1086,633,10,8,219,4292831,0,Benign
172.31.69.24,58547,172.31.69.8,1095,6,0.0,44,0,1,0,2,0,0,Benign
213.202.230.144,10635,172.31.64.4,3389,6,0.0,1930,724,13,8,219,4291175,0,Benign
172.31.64.20,3389,5.101.40.8,5826,6,88.0,40,0,1,0,20,0,0,Benign
172.31.66.41,51217,172.31.0.2,53,17,5.126,70,98,1,1,0,4294966,0,Benign
193.111.198.10,33164,172.31.66.61,3389,6,0.0,1844,764,11,9,219,4292277,0,Benign
172.31.66.26,61673,172.31.0.2,53,17,5.24,150,312,2,2,0,4294935,0,Benign
172.31.69.25,21,13.59.126.31,33446,6,0.0,40,0,1,0,20,0,0,Benign
172.31.67.17,63396,172.31.0.2,53,17,0.0,72,354,1,1,0,4294964,0,Benign
172.31.65.116,3389,213.202.230.217,8666,6,88.0,40,0,1,0,20,0,0,Benign
172.31.67.13,51485,172.31.0.2,53,17,0.0,68,116,1,1,0,4294932,0,Benign
172.31.65.10,57880,172.31.0.2,53,17,0.0,68,167,1,1,0,4294964,0,Benign
