IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label,Attack
192.168.1.190,2028,204.61.216.100,53,17,5.0,83,368,1,1,0,17,0,Benign
192.168.1.30,59202,192.168.1.190,80,6,7.0,112,60,2,1,18,0,1,password
192.168.1.30,55834,192.168.1.195,80,6,7.0,458,2163,5,5,27,237,1,injection
192.168.1.31,47558,192.168.1.152,80,6,7.0,112,60,2,1,18,0,1,scanning
192.168.1.38,48498,192.168.1.184,443,6,91.0,1115,7589,9,11,31,105,1,ddos
192.168.1.36,57942,192.168.1.152,80,6,7.0,506,3760,5,6,27,350,1,xss
192.168.1.30,56510,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.30,57724,192.168.1.195,80,6,7.0,489,696,5,4,27,182,1,injection
192.168.1.36,36868,192.168.1.152,80,6,7.0,584,3760,5,6,27,223,1,xss
192.168.1.31,58536,192.168.1.184,443,6,91.0,52,0,1,0,16,0,1,ddos
192.168.1.30,50260,192.168.1.190,80,6,7.0,112,60,2,1,18,0,1,ddos
192.168.1.36,44830,18.184.104.180,80,6,7.0,554,12815,6,12,27,1749,1,injection
192.168.1.193,57877,192.168.1.190,53,17,5.178,150,872,2,2,0,0,0,Benign
192.168.1.184,443,192.168.1.31,50140,6,91.0,52,52,1,1,17,0,0,Benign
192.168.1.35,51976,192.168.1.195,80,6,7.0,538,696,5,4,27,500,1,injection
192.168.1.36,57834,192.168.1.152,80,6,7.0,504,3760,5,6,27,219,1,xss
192.168.1.33,41718,192.168.1.152,80,6,7.0,519,3760,5,6,27,46,1,password
192.168.1.31,34198,192.168.1.195,80,6,7.0,479,2052,5,5,27,196,1,injection
192.168.1.31,48874,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.31,50244,192.168.1.152,80,6,7.0,164,112,3,2,19,20017,1,ddos
192.168.1.33,34256,192.168.1.195,80,6,7.0,490,696,5,4,27,222,1,password
192.168.1.33,8080,192.168.1.193,49361,6,131.0,208,200,2,1,24,59,0,Benign
192.168.1.35,36224,192.168.1.195,80,6,7.0,481,696,5,4,27,189,1,injection
192.168.1.33,58848,192.168.1.152,80,6,7.0,689,3812,5,7,27,64,1,injection
192.168.1.33,51546,192.168.1.184,443,6,91.0,1374,2215,9,8,31,461,1,injection
192.168.1.30,40494,192.168.1.190,80,6,7.0,112,60,2,1,18,0,1,password
192.168.1.1,51933,192.168.1.195,64684,17,12.0,629,0,2,0,0,1,0,Benign
192.168.1.193,59957,192.168.1.33,8080,6,131.0,1440,1200,30,30,22,10124,1,backdoor
192.168.1.31,43122,192.168.1.190,80,6,7.0,112,60,2,1,18,84,1,ddos
192.168.1.33,48330,192.168.1.190,80,6,7.0,511,2239,5,6,27,197,1,password
192.168.1.195,64273,192.168.1.79,9197,6,7.0,540,6973,6,10,27,0,0,Benign
192.168.1.184,443,192.168.1.30,52144,6,91.0,816,0,10,0,25,58609,0,Benign
192.168.1.31,56258,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.31,49422,192.168.1.152,80,6,7.0,747,3760,5,6,27,374,1,ddos
192.168.1.31,45466,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.184,443,192.168.1.31,37600,6,91.0,52,0,1,0,17,0,0,Benign
192.168.1.36,35056,18.184.104.180,80,6,7.0,529,12815,5,12,27,1790,1,injection
