IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label,Attack
59.166.0.2,17467,149.171.126.2,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.7,55207,149.171.126.3,55417,6,0.0,2974,33122,48,50,27,0,0,Benign
59.166.0.3,39144,149.171.126.2,111,17,11.0,568,320,4,4,0,4,0,Benign
59.166.0.9,53231,149.171.126.6,53386,6,36.0,3390,43918,56,58,27,35,0,Benign
59.166.0.8,58422,149.171.126.1,21,6,1.0,2934,3738,52,54,27,24,0,Benign
59.166.0.4,54545,149.171.126.6,6881,6,0.0,1540,1644,16,18,27,0,0,Benign
59.166.0.1,28341,149.171.126.4,5190,6,0.0,1064,2260,12,12,27,3,0,Benign
59.166.0.9,31788,149.171.126.6,2816,6,0.0,2750,26584,44,46,27,0,0,Benign
59.166.0.5,28348,149.171.126.1,21789,17,11.0,544,304,4,4,0,3,0,Benign
175.45.176.2,64077,149.171.126.13,80,6,7.0,1138,5700,10,10,19,1124,1,Generic
59.166.0.9,32607,149.171.126.8,25,6,3.0,37402,3276,52,40,27,0,0,Benign
59.166.0.6,43896,149.171.126.9,22,6,92.0,24136,29452,226,236,27,0,0,Benign
175.45.176.2,14684,149.171.126.12,520,17,0.0,1064,0,2,0,0,0,0,Benign
59.166.0.3,42200,149.171.126.7,4764,6,11.0,4280,2456,18,18,27,7,0,Benign
59.166.0.2,61435,149.171.126.6,23931,6,0.0,2542,21294,40,42,27,0,0,Benign
59.166.0.3,58766,149.171.126.9,53,17,5.0,146,178,2,2,0,0,0,Benign
59.166.0.6,33211,149.171.126.4,53706,6,36.0,3926,55074,66,68,27,50,0,Benign
59.166.0.8,47943,149.171.126.0,6881,6,37.0,1540,1644,16,18,27,591,0,Benign
59.166.0.1,33631,149.171.126.8,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.8,14008,149.171.126.0,44953,6,0.0,8928,320,14,6,27,0,0,Benign
59.166.0.8,23579,149.171.126.8,1186,6,36.0,3406,37162,56,56,27,30,0,Benign
59.166.0.4,30802,149.171.126.8,53,17,5.0,130,162,2,2,0,1,0,Benign
59.166.0.8,46050,149.171.126.7,80,6,7.0,1580,10168,12,18,27,1079,0,Benign
59.166.0.5,41174,149.171.126.6,12378,6,0.0,8928,320,14,6,27,244,0,Benign
59.166.0.9,49444,149.171.126.1,12705,6,0.0,320,1952,6,8,27,46,0,Benign
59.166.0.3,16068,149.171.126.9,13930,6,36.0,2766,27852,44,46,27,58,0,Benign
59.166.0.5,27513,149.171.126.1,31457,6,36.0,4238,65596,72,74,27,61,0,Benign
59.166.0.4,49738,149.171.126.0,111,17,0.0,568,320,4,4,0,0,0,Benign
59.166.0.6,44667,149.171.126.1,5190,6,0.0,2054,2478,22,24,27,11,0,Benign
59.166.0.1,44552,149.171.126.3,56466,17,0.0,512,304,4,4,0,0,0,Benign
59.166.0.1,35162,149.171.126.9,53,17,5.0,130,162,2,2,0,0,0,Benign
175.45.176.1,49377,149.171.126.16,69,17,96.0,2962,0,2,0,0,0,1,Fuzzers
59.166.0.5,41611,149.171.126.0,11927,6,36.0,2438,20194,38,40,27,10,0,Benign
59.166.0.5,59170,149.171.126.7,25,6,3.0,37914,3380,54,42,27,25,0,Benign
59.166.0.4,6954,149.171.126.7,6881,6,37.0,1540,1644,16,18,27,18,0,Benign
59.166.0.3,10510,149.171.126.3,111,17,11.0,568,304,4,4,0,4,0,Benign
59.166.0.2,14552,149.171.126.8,6881,6,0.0,24848,1094788,442,858,27,4294936,0,Benign
59.166.0.3,13439,149.171.126.2,13600,6,36.0,3182,35916,52,54,27,30,0,Benign
175.45.176.2,19577,149.171.126.13,111,17,11.0,168,0,2,0,0,0,1,Reconnaissance
59.166.0.2,26055,149.171.126.7,53,17,0.0,146,178,2,2,0,0,0,Benign
59.166.0.6,28949,149.171.126.5,53,17,5.0,146,178,2,2,0,0,0,Benign
59.166.0.4,64207,149.171.126.2,9321,17,11.0,512,304,4,4,0,1,0,Benign
59.166.0.0,47233,149.171.126.5,57629,6,0.0,2854,30654,46,48,27,0,0,Benign
59.166.0.1,2523,149.171.126.5,1181,6,0.0,4640,2560,18,20,27,0,0,Benign
59.166.0.5,57813,149.171.126.2,25931,6,36.0,2542,23508,40,42,27,20,0,Benign
59.166.0.2,44864,149.171.126.6,46578,6,0.0,4550,72164,78,80,27,0,0,Benign
59.166.0.7,25142,149.171.126.9,53,17,5.0,146,178,2,2,0,0,0,Benign
59.166.0.7,21122,149.171.126.0,53,17,5.0,132,164,2,2,0,1,0,Benign
59.166.0.0,62094,149.171.126.2,111,17,0.0,568,320,4,4,0,0,0,Benign
59.166.0.6,60355,149.171.126.7,60335,6,0.0,8928,320,14,6,27,222,0,Benign
175.45.176.2,14524,149.171.126.15,111,6,11.0,552,336,10,8,19,680,1,Reconnaissance
59.166.0.0,6307,149.171.126.4,111,17,11.0,568,312,4,4,0,4,0,Benign
59.166.0.4,53243,149.171.126.7,25,6,3.0,37180,3276,52,40,27,0,0,Benign
59.166.0.0,8310,149.171.126.8,53,17,0.0,130,162,2,2,0,0,0,Benign
59.166.0.2,28537,149.171.126.7,26583,6,0.0,2854,29182,46,48,27,0,0,Benign
59.166.0.5,4145,149.171.126.9,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.1,38118,149.171.126.1,21,6,1.0,2934,3742,52,54,27,685,0,Benign
59.166.0.0,25569,149.171.126.6,80,6,7.0,1580,10168,12,18,27,1197,0,Benign
59.166.0.6,13626,149.171.126.4,22,6,92.0,24240,29452,228,236,27,7666,0,Benign
59.166.0.2,19248,149.171.126.9,17418,6,0.0,3926,54286,66,68,27,0,0,Benign
59.166.0.9,19437,149.171.126.9,25,6,3.0,37282,3380,52,42,27,677,0,Benign
175.45.176.1,63054,149.171.126.11,111,17,11.0,168,0,2,0,0,0,1,Reconnaissance
59.166.0.5,50803,149.171.126.1,29058,6,36.0,3390,40986,56,58,27,19,0,Benign
59.166.0.5,58601,149.171.126.6,80,6,7.0,1052,824,8,10,27,4,0,Benign
59.166.0.3,5461,149.171.126.2,25,6,3.0,37854,3484,54,44,27,539,0,Benign
59.166.0.2,5668,149.171.126.1,30023,6,36.0,2958,32586,48,50,27,16,0,Benign
59.166.0.3,21443,149.171.126.9,53,17,0.0,146,178,2,2,0,0,0,Benign
175.45.176.1,9776,149.171.126.16,21,6,1.0,1064,1634,20,22,27,1212,1,Exploits
59.166.0.3,25454,149.171.126.4,24340,6,0.0,4968,3080,28,30,27,0,0,Benign
59.166.0.1,4786,149.171.126.7,2420,17,11.0,528,304,4,4,0,86,0,Benign
59.166.0.1,44244,149.171.126.9,80,6,7.0,16706,1087900,312,746,27,20078,0,Benign
59.166.0.8,3071,149.171.126.3,53227,6,0.0,3302,37226,54,56,27,0,0,Benign
