IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label,Attack
171.41.106.10,40718,12.170.255.199,23900,6,0.0,11019,60270,102,73,27,0,0,Benign
146.186.194.108,49455,147.166.114.255,2468,6,5.0,2631,52931,77,84,27,6054,0,Benign
89.118.222.70,49672,8.28.104.65,65524,6,36.0,19515,496069,198,171,27,100106,0,Benign
125.139.134.248,3877,76.250.168.44,984,17,0.0,1138,9187,4,12,0,2469,0,Benign
206.13.22.96,13750,25.182.235.93,5189,17,36.0,158,7472,7,14,27,2,0,Benign
216.164.114.200,12038,186.157.75.201,5265,17,0.0,110,5266,5,16,27,35,0,Benign
20.249.3.87,19581,212.97.76.29,65,6,36.0,2403,117,2,3,19,32,0,Benign
76.49.51.44,6730,155.124.190.56,263,17,0.0,262,1016,2,2,0,1,0,Benign
168.53.106.91,31195,33.73.229.104,27534,6,4.0,2663,276,7,15,27,2103,0,Benign
93.30.111.238,65379,41.14.101.106,15151,17,1.0,1862,15688,27,57,27,75,0,Benign
189.112.180.208,61572,91.141.62.44,2850,6,4.0,43122,4,61,50,27,0,1,Benign
122.249.239.195,61560,58.26.26.53,24,6,11.0,103,4218,2,2,0,0,0,Benign
106.39.51.120,45599,178.251.52.200,2003,6,7.0,1350,22,80,53,27,1,0,Benign
172.8.191.156,50147,213.189.224.172,5398,6,37.0,1605,50,2,3,0,59555,0,Benign
22.169.151.195,1183,58.244.8.34,27089,6,5.0,568,2844,15,25,27,2,0,Benign
190.55.171.190,40896,18.222.177.129,39986,6,7.0,33748,286813,392,352,27,3287,0,Benign
130.222.82.91,2605,155.70.1.243,1618,6,5.0,69,0,2,2,19,13231,0,Benign
122.19.139.200,4101,184.135.69.117,54728,6,0.0,4656,212204,136,105,27,2047,0,Benign
161.121.204.1,36081,186.10.97.100,102,6,0.0,1810,24805,56,79,27,9044,0,Benign
82.92.123.253,12611,77.161.35.157,7900,6,5.0,353,0,4,14,27,0,0,Benign
81.128.14.79,53296,12.109.131.129,3784,6,1.0,4790,0,5,9,27,1,0,Benign
55.189.228.51,56634,66.176.205.247,5326,6,0.0,5410,252305,48,68,0,22,0,Benign
88.177.43.37,36070,102.195.254.143,60241,6,0.0,5187,40557,43,48,27,6171,0,Reconnaissance
221.143.171.134,38299,57.80.189.4,4692,6,0.0,720,81118,26,64,0,21266,0,Benign
198.111.123.100,35381,164.44.225.3,15119,6,0.0,1840,61937,74,99,27,32,0,Benign
218.139.219.224,45687,195.140.155.231,3734,6,37.0,19699,30116,39,61,27,8,0,Benign
28.145.136.21,2495,186.171.106.233,9444,17,0.0,1498,7084,6,23,27,17199,0,Benign
12.195.189.98,5701,186.57.123.249,1,17,0.0,465,0,2,4,0,0,1,Benign
206.56.120.62,50595,15.238.159.129,8512,17,0.0,193,1204,2,5,0,0,0,Benign
121.148.28.183,8105,121.242.122.77,6,17,0.0,120,4799,2,8,27,0,0,Benign
180.109.152.246,26379,155.50.129.206,3005,17,7.0,161,249,2,4,27,0,0,Benign
41.216.171.220,14616,154.37.204.249,26,17,7.0,127,2891,2,5,27,83587,0,Benign
164.237.163.202,21331,97.15.212.56,2784,6,36.0,3934,90352,15,47,27,0,0,Benign
168.165.176.121,49781,72.119.115.37,25407,6,92.0,46375,45153,216,167,27,0,0,Benign
211.129.23.71,33049,186.27.79.255,7533,6,36.0,1420,36001,5,28,27,0,0,Benign
98.191.237.176,51606,27.26.199.232,0,6,37.0,1456,115491,3,16,0,30,0,Benign
62.161.122.33,13655,50.139.94.65,7095,6,0.0,42733,499697,572,463,27,12,0,Benign
121.146.65.33,7657,132.230.116.243,0,17,131.7,2727,1544,4,8,27,7834,0,Exploits
100.1.81.79,1586,77.210.143.50,22729,6,0.0,523,18806,20,32,19,53496,1,Benign
136.76.75.124,40226,197.243.173.111,437,17,5.0,4327,272,3,5,0,0,0,Benign
75.177.157.220,45429,192.228.91.167,1,17,3.0,2452,1181,2,3,27,2254,0,Benign
169.209.103.193,12535,58.239.43.216,151,6,1.0,17537,68472,23,48,27,8674,0,Benign
107.226.187.139,7026,68.248.57.171,6078,6,0.0,64,7,2,2,19,0,0,Benign
110.126.217.32,31870,89.25.120.156,17250,6,11.0,1307,20510,10,27,27,0,0,Benign
223.102.13.56,34459,95.38.94.241,0,6,37.0,3747,1883,3,8,27,2698,0,Benign
166.208.88.32,28763,153.230.191.191,5780,6,4.0,33255,25083,181,135,27,3274,0,Benign
133.45.107.14,38202,97.188.131.109,19704,6,0.0,1328,67,20,19,27,12,0,Benign
4.105.214.142,12702,85.92.71.208,195,6,0.0,650,718,8,26,0,6493,0,Benign
44.117.198.169,50432,109.197.138.65,65,17,36.0,208,12,2,6,27,1369,0,Benign
87.238.219.241,30768,91.159.15.143,27,17,5.0,1712,0,2,2,27,0,0,Benign
46.91.235.185,29517,84.111.136.94,15563,17,0.0,67,1,2,2,0,0,0,Benign
67.215.11.78,50500,177.178.236.241,887,6,7.0,72,170536,2,8,27,2,0,Benign
3.44.177.181,61204,35.19.197.26,0,6,10.16,2501,1,8,12,0,2533,0,Benign
69.241.106.71,37268,124.221.23.238,2527,17,1.0,190,309,2,3,0,0,0,Benign
175.64.222.34,62116,116.162.53.210,1333,17,0.0,921,57722,3,14,27,43,0,Benign
52.90.222.94,19117,164.163.159.178,0,17,5.0,1880,0,2,3,0,0,0,Benign
5.207.23.111,36535,187.158.111.119,52439,6,36.0,2052,11692,23,32,27,4190,0,Benign
218.132.46.248,23974,76.123.160.39,247,6,0.0,295,37,45,33,27,0,0,Benign
133.7.199.162,61728,12.115.109.121,45914,6,0.0,833,157656,52,96,27,187,0,Benign
131.173.198.255,47418,5.30.141.108,727,6,0.0,6515,25755,12,36,27,2371,0,Benign
40.196.22.69,15400,20.154.212.222,5850,17,0.0,4651,97376,5,25,0,4,0,Benign
208.136.132.253,27839,209.191.149.75,0,17,36.0,6414,43752,8,32,27,992,0,Benign
81.64.72.71,21727,53.20.83.207,20843,6,0.0,67,0,2,3,27,0,0,Benign
90.228.119.118,27908,180.153.149.206,49083,6,0.0,5977,122132,146,168,27,102825,1,Benign
