IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label,Attack
171.41.106.10,5726,12.170.255.199,98,17,0.0,367,277,3,3,0,35,0,Benign
146.186.194.108,8374,147.166.114.255,42,17,5.0,222,54,4,8,0,142,0,Benign
89.118.222.70,9202,8.28.104.65,107,17,11.0,547,494,3,5,0,743,0,Benign
125.139.134.248,2373,76.250.168.44,83,17,0.0,303,996,2,3,0,0,0,Benign
206.13.22.96,6458,25.182.235.93,48257,6,36.0,4219,79114,64,70,27,184,0,Benign
216.164.114.200,9264,186.157.75.201,82,6,4.0,3927,4587,115,134,27,147,0,Benign
20.249.3.87,7279,212.97.76.29,348,17,0.0,183,8291,9,2,0,261,0,Benign
76.49.51.44,17163,155.124.190.56,36180,6,36.0,3420,36790,58,56,27,12,0,Benign
168.53.106.91,17932,33.73.229.104,0,6,1.0,38338,5684,55,36,27,232,0,Benign
93.30.111.238,28706,41.14.101.106,63,17,5.0,92,895,2,2,0,5,0,Benign
189.112.180.208,20404,91.141.62.44,8523,6,37.0,12624,571043,453,476,27,5069,0,Benign
122.249.239.195,10331,58.26.26.53,0,17,0.0,78,735,2,2,0,0,0,Benign
106.39.51.120,11060,178.251.52.200,0,17,11.0,637,1315,4,4,0,0,0,Benign
172.8.191.156,2286,213.189.224.172,4115,17,0.0,673,0,3,3,0,462,0,Benign
22.169.151.195,58156,58.244.8.34,47787,6,0.0,1413,336,15,10,27,220,0,Benign
190.55.171.190,65535,18.222.177.129,57,6,7.0,7374,3318,46,44,27,214,0,Benign
130.222.82.91,52928,155.70.1.243,29,6,92.0,16118,71575,110,107,27,2988,0,Benign
122.19.139.200,382,184.135.69.117,5509,6,0.0,1061,2280,18,22,27,803,0,Benign
161.121.204.1,9130,186.10.97.100,324,17,5.0,586,5176,2,0,0,271,0,Benign
82.92.123.253,4403,77.161.35.157,36,6,3.0,5095,3462,61,48,27,0,0,Benign
81.128.14.79,16572,12.109.131.129,5203,6,36.0,4788,51365,73,53,27,0,0,Benign
55.189.228.51,7585,66.176.205.247,139,6,0.0,4263,16249,45,772,27,5838,0,Benign
88.177.43.37,21880,102.195.254.143,5644,6,36.0,3749,30520,60,64,27,163,0,Benign
221.143.171.134,7616,57.80.189.4,4498,6,0.0,2562,3037,17,21,27,34,0,Benign
198.111.123.100,7081,164.44.225.3,85,17,5.0,52,0,2,2,0,191,0,Benign
218.139.219.224,13824,195.140.155.231,76,17,5.0,242,0,1,2,0,128,0,Benign
28.145.136.21,61945,186.171.106.233,185,6,10.16,664,1493,14,12,19,2253,1,Fuzzers
12.195.189.98,17468,186.57.123.249,4444,6,0.0,5296,67553,79,97,27,2811,0,Benign
206.56.120.62,65202,15.238.159.129,104,6,4.0,8066,10450,17,125,27,96,0,Benign
121.148.28.183,9612,121.242.122.77,5537,6,0.0,1391,1555,20,18,27,348,0,Benign
180.109.152.246,25476,155.50.129.206,4022,6,36.0,4063,72730,83,81,27,194,0,Benign
41.216.171.220,17246,154.37.204.249,41598,17,0.0,429,12,2,3,0,170,0,Benign
164.237.163.202,8303,97.15.212.56,515,17,0.0,327,0,1,2,0,330,0,Benign
168.165.176.121,64556,72.119.115.37,110,6,7.0,677,9042,14,15,27,1180,0,Benign
211.129.23.71,58990,186.27.79.255,50560,6,0.0,1620,2508,8,11,27,473,0,Benign
98.191.237.176,50075,27.26.199.232,112,6,7.0,804,1835,5,12,27,438,0,Benign
62.161.122.33,5615,50.139.94.65,175,6,92.0,2977,2823,37,24,27,0,0,Benign
121.146.65.33,65235,132.230.116.243,61086,6,36.0,4069,31756,52,69,27,244,0,Benign
100.1.81.79,11934,77.210.143.50,12,6,1.0,3133,5523,49,51,27,2533,0,Benign
136.76.75.124,4438,197.243.173.111,6257,6,0.0,2440,5828,16,25,27,167,0,Benign
75.177.157.220,22807,192.228.91.167,6694,6,36.0,3887,47670,80,83,27,11,0,Benign
169.209.103.193,57889,58.239.43.216,108,17,0.0,52,1056,3,16,0,0,0,Benign
107.226.187.139,12964,68.248.57.171,29705,6,0.0,3638,56211,63,57,27,0,0,Benign
110.126.217.32,57765,89.25.120.156,53202,6,0.0,884,1204,10,9,27,463,0,Benign
223.102.13.56,10524,95.38.94.241,4281,6,0.0,856,8515,11,15,27,950,0,Benign
166.208.88.32,5267,153.230.191.191,0,17,11.0,1006,2109,3,1,0,644,1,Benign
133.45.107.14,65535,97.188.131.109,44,6,4.0,9367,18865,57,45,27,246,0,Benign
4.105.214.142,60596,85.92.71.208,124,6,7.0,600,4820,8,12,27,69,0,Benign
44.117.198.169,2080,109.197.138.65,146,6,10.0,923,2217,14,8,19,2510,1,Exploits
87.238.219.241,4715,91.159.15.143,0,17,0.0,202,411,2,2,0,11,0,Benign
46.91.235.185,4140,84.111.136.94,31,17,0.0,264,91,1,3,0,188,1,Reconnaissance
67.215.11.78,6490,177.178.236.241,4604,6,36.0,2131,14024,37,29,27,215,0,Benign
3.44.177.181,9927,35.19.197.26,63,17,0.0,433,957,3,2,0,334,0,Benign
69.241.106.71,279,124.221.23.238,6572,6,0.0,1926,722,18,3,27,199,0,Benign
175.64.222.34,22190,116.162.53.210,5234,6,0.0,1074,6234,17,24,27,352,0,Benign
52.90.222.94,11615,164.163.159.178,0,6,1.0,3621,6538,47,62,27,289,0,Benign
5.207.23.111,53281,187.158.111.119,7090,6,65.0,460,0,12,8,19,4912,0,Benign
218.132.46.248,4454,76.123.160.39,0,17,11.0,2675,4083,1,10,0,303,1,Benign
133.7.199.162,13099,12.115.109.121,293,17,11.0,726,305,4,4,0,126,0,Benign
131.173.198.255,62820,5.30.141.108,305,17,11.0,272,0,3,2,0,27,0,Benign
40.196.22.69,15941,20.154.212.222,32,17,5.0,185,45,2,2,0,0,0,Benign
208.136.132.253,3826,209.191.149.75,0,17,5.0,52,354,2,2,0,206,0,Benign
81.64.72.71,33768,53.20.83.207,97,6,92.0,3201,31276,237,498,27,5623,0,Benign
90.228.119.118,10366,180.153.149.206,0,6,92.0,12029,7777,63,42,27,934,0,Benign
173.177.128.44,42570,194.90.205.127,234,17,5.0,52,101,5,1,0,0,0,Benign
177.95.200.29,2970,79.8.141.45,141,17,0.0,547,1805,4,3,0,734,0,Benign
64.250.71.119,59837,191.92.26.106,80,6,7.0,511,199,7,6,19,130,0,Benign
87.152.226.150,51251,80.30.153.127,4491,6,0.0,3348,24366,48,64,27,119,0,Benign
214.49.93.31,9769,59.7.230.213,6061,6,0.0,1495,8077,15,12,27,0,0,Benign
60.24.75.74,59498,74.7.223.185,81,6,7.0,1769,7865,15,20,27,1321,0,Benign
190.31.12.54,2299,30.197.252.112,135,6,0.0,2261,13081,8,3,19,178,1,Exploits
207.250.27.247,57331,167.220.181.84,5834,6,0.0,1559,5932,16,16,27,513,0,Benign
134.151.22.214,13669,61.142.93.71,102,17,0.0,210,0,2,2,0,69,0,Benign
74.204.199.215,39517,167.191.29.161,67,17,5.0,150,602,2,2,0,0,0,Benign
117.102.162.192,4418,68.67.183.150,36,17,5.0,314,0,2,2,0,128,1,Reconnaissance
69.183.127.58,18170,196.131.33.246,4625,6,0.0,1244,3203,13,13,27,0,0,Benign
200.113.150.16,59378,166.172.37.98,58795,6,0.0,8951,3439,14,5,27,254,0,Benign
78.255.213.39,39577,9.87.133.239,5110,17,0.0,616,6105,3,0,0,0,0,Benign
67.91.178.50,12755,124.233.169.58,4863,6,36.0,1868,13788,19,25,27,0,0,Benign
141.225.229.247,7362,57.103.194.201,89,6,0.0,3526,4013,44,24,27,61,0,Benign
87.13.204.130,48912,86.105.64.62,58260,6,0.0,16372,549281,269,506,27,2839,0,Benign
101.24.76.20,47417,217.219.183.200,240,6,13.0,384,2856,7,12,19,969,0,Benign
83.182.59.136,58267,70.8.132.39,34,6,7.0,1401,2860,13,14,27,777,0,Benign
7.72.189.114,4442,62.195.114.95,32,6,7.0,899,12598,15,19,19,1497,1,Benign
215.165.227.69,5498,177.56.196.236,37,17,5.0,52,0,2,1,0,0,0,Benign
204.85.37.174,36425,152.181.243.50,146,6,4.0,34778,40608,126,120,27,2617,0,Benign
197.113.36.50,3599,21.178.181.234,0,17,0.0,52,414,2,1,0,39,1,Benign
73.28.70.66,62712,175.237.114.228,22,6,3.0,7794,2168,46,41,27,711,0,Benign
38.171.197.229,2531,124.187.28.215,125,6,7.0,708,3676,6,7,27,0,1,Benign
118.242.186.202,8745,118.147.103.121,5041,6,0.0,1619,4957,12,9,27,0,0,Benign
222.192.153.121,6661,21.65.10.114,3453,6,0.0,4086,4597,56,51,27,67,0,Benign
187.113.154.68,17064,44.111.230.176,57794,6,36.0,2813,26086,45,45,27,0,0,Benign
130.83.174.127,2789,56.84.165.19,70,6,7.0,1280,4937,42,42,27,732,1,Exploits
135.126.59.155,5225,148.154.183.79,4590,6,0.0,1792,6114,31,41,27,553,0,Benign
148.47.171.169,4329,174.115.186.65,6129,17,0.0,469,0,3,2,0,1083,1,Reconnaissance
172.43.219.153,41860,17.146.148.204,4973,6,0.0,2530,2596,17,3,27,72,0,Benign
88.46.193.174,3252,66.201.7.55,11,206,7.0,94,1212,2,2,0,10,0,Benign
130.108.226.242,4954,44.89.219.205,0,17,5.0,78,435,2,2,0,0,0,Benign
211.12.67.245,21164,155.45.85.51,48,17,5.0,315,0,2,1,0,0,0,Benign
129.187.140.199,1945,134.241.220.202,87,6,7.0,599,6567,10,7,27,664,0,Benign
203.53.204.133,19116,13.241.163.162,57,6,7.0,1341,12443,11,13,27,115,0,Benign
79.94.136.252,19927,111.203.127.101,68,17,5.0,118,0,2,2,0,0,0,Benign
111.121.62.46,61762,107.53.26.244,707,17,11.0,530,427,4,4,0,427,0,Benign
123.176.242.112,1387,48.56.78.9,303,6,0.0,377,1852,9,5,27,147,0,Benign
210.19.86.100,7930,54.21.4.194,69,17,0.0,207,0,2,3,0,0,0,Benign
95.151.143.67,3499,222.40.69.21,3630,6,0.0,4293,10022,26,34,27,468,0,Benign
111.238.128.39,3685,68.25.230.32,46875,6,0.0,1483,434,5,3,27,29,0,Benign
129.79.8.107,59208,134.158.211.201,52117,6,0.0,2266,14925,37,35,27,0,0,Benign
219.46.228.70,2945,140.91.81.80,115,6,13.0,339,207,14,10,19,876,1,Benign
175.25.218.188,3430,158.61.65.219,182,6,7.0,1854,1694,24,15,27,0,0,Benign
13.233.154.71,8062,132.52.36.190,5055,6,0.0,2502,5811,39,55,27,1739,0,Benign
15.254.187.107,15680,89.103.21.156,5877,6,0.0,2174,1309,18,19,27,119,0,Benign
176.242.202.151,30859,49.237.66.21,0,6,3.0,10139,6133,40,56,27,0,0,Benign
220.215.242.240,20055,60.153.160.248,59880,6,0.0,3810,23625,31,34,27,118,0,Benign
139.222.55.155,19471,2.134.48.244,339,6,0.0,4410,0,42,19,27,0,0,Benign
184.135.166.16,12094,77.121.37.249,44,6,0.0,804,2992,23,26,27,0,0,Benign
180.31.255.220,12685,214.108.98.150,53,17,0.0,52,0,2,1,0,25,0,Benign
80.199.105.249,2857,10.151.17.78,25142,6,36.0,3028,24291,56,40,27,402,0,Benign
109.49.47.82,5202,68.112.221.142,6523,6,0.0,11850,385747,12,31,27,438,0,Benign
110.207.237.192,7315,151.60.115.243,111,17,0.0,452,0,3,3,0,47,0,Benign
